Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_503117.T0	IPR027417__IPR001650__IPR000330__IPR038718__IPR014001	P-loop containing nucleoside triphosphate hydrolase__Helicase, C-terminal__SNF2, N-terminal__SNF2-like, N-terminal domain superfamily__Helicase superfamily 1/2, ATP-binding domain	-__-__GO:0005524|GO:0140658__-__-
CopciAB_503130.T0	IPR041457__IPR040521	CxC2-like cysteine cluster, KDZ transposase-associated__Kyakuja-Dileera-Zisupton transposase	-__-
CopciAB_503135.T0	IPR046521	Protein of unknown function DUF6698	-
CopciAB_503155.T0	IPR001138__IPR036864	Zn(2)Cys(6) fungal-type DNA-binding domain__Zn(2)-C6 fungal-type DNA-binding domain superfamily	GO:0000981|GO:0006355|GO:0008270__GO:0000981|GO:0006355|GO:0008270
CopciAB_503165.T0	IPR001525__IPR022702__IPR017198__IPR018117__IPR029063__IPR001025__IPR043151	C-5 cytosine methyltransferase__DNA (cytosine-5)-methyltransferase 1, replication foci domain__DNA (cytosine-5)-methyltransferase 1-like__DNA methylase, C-5 cytosine-specific, active site__S-adenosyl-L-methionine-dependent methyltransferase superfamily__Bromo adjacent homology (BAH) domain__Bromo adjacent homology (BAH) domain superfamily	GO:0008168__-__GO:0003886|GO:0005634|GO:0090116__-__-__GO:0003682__-
CopciAB_503190.T0	IPR005103	Auxiliary Activity family 9	-
CopciAB_503203.T0	IPR029063__IPR030374	S-adenosyl-L-methionine-dependent methyltransferase superfamily__Polyamine biosynthesis domain	-__-
CopciAB_503211.T0	IPR007603	Choline transporter-like	GO:0022857|GO:0055085
CopciAB_503212.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_503234.T0	IPR003439__IPR027417__IPR003593__IPR039421	ABC transporter-like, ATP-binding domain__P-loop containing nucleoside triphosphate hydrolase__AAA+ ATPase domain__Type 1 protein exporter	GO:0005524__-__-__-
CopciAB_503237.T0	IPR000573__IPR036008__IPR001030__IPR018136__IPR015931__IPR006248__IPR015928__IPR015932	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain__Aconitase, iron-sulfur domain__Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain__Aconitase family, 4Fe-4S cluster binding site__Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3__Aconitase, mitochondrial-like__Aconitase/3-isopropylmalate dehydratase, swivel__Aconitase, domain 2	-__-__-__-__-__GO:0003994|GO:0006099|GO:0051539__-__-
CopciAB_503250.T0	IPR036908	RlpA-like domain superfamily	-
CopciAB_503261.T0	IPR024779	2OGFeDO JBP1/TET, oxygenase domain	-
CopciAB_503301.T0	IPR009003	Peptidase S1, PA clan	-
CopciAB_503347.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503355.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503366.T0	IPR016191	Ribonuclease/ribotoxin	GO:0003723|GO:0004540
CopciAB_503378.T0	IPR011333__IPR036859__IPR000210	SKP1/BTB/POZ domain superfamily__CAP Gly-rich domain superfamily__BTB/POZ domain	-__-__GO:0005515
CopciAB_503382.T0	IPR036279__IPR006084__IPR006086__IPR006085__IPR008918__IPR029060	5'-3' exonuclease, C-terminal domain superfamily__XPG/Rad2 endonuclease__XPG-I domain__XPG, N-terminal__Helix-hairpin-helix motif, class 2__PIN-like domain superfamily	-__-__GO:0004518__GO:0004518__GO:0003677|GO:0003824__-
CopciAB_503383.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_503389.T0	IPR037278__IPR001164__IPR038508	ARFGAP/RecO-like zinc finger__Arf GTPase activating protein__ArfGAP domain superfamily	-__GO:0005096__-
CopciAB_503391.T0	IPR006598	Glycosyl transferase CAP10 domain	-
CopciAB_503392.T0	IPR006368__IPR036291__IPR016040	GDP-mannose 4,6-dehydratase__NAD(P)-binding domain superfamily__NAD(P)-binding domain	GO:0008446|GO:0019673__-__-
CopciAB_503401.T0	IPR017853__IPR001547	Glycoside hydrolase superfamily__Glycoside hydrolase, family 5	-__GO:0004553|GO:0071704
CopciAB_503406.T0	IPR015943__IPR036322	WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	GO:0005515__GO:0005515
CopciAB_503435.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_503451.T0	IPR011011__IPR046341__IPR019787__IPR013083__IPR001214__IPR001965	Zinc finger, FYVE/PHD-type__SET domain superfamily__Zinc finger, PHD-finger__Zinc finger, RING/FYVE/PHD-type__SET domain__Zinc finger, PHD-type	-__-__-__-__GO:0005515__-
CopciAB_503457.T0	IPR044098__IPR015063__IPR000555__IPR036809__IPR037518	STAMBP/STALP-like, MPN domain__USP8 dimerisation domain__JAB1/MPN/MOV34 metalloenzyme domain__AF1782-like superfamily__MPN domain	GO:0016579|GO:0061578|GO:0070536|GO:0140492__-__GO:0005515|GO:0008233|GO:0008237__-__-
CopciAB_503468.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503483.T0	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	GO:0006629|GO:0008081
CopciAB_503488.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503496.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_503502.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503511.T0	IPR027443__IPR026992__IPR005123__IPR044861	Isopenicillin N synthase-like superfamily__Non-haem dioxygenase N-terminal domain__Oxoglutarate/iron-dependent dioxygenase__Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain	-__-__-__-
CopciAB_503522.T0	IPR004875	DDE superfamily endonuclease domain	GO:0003676
CopciAB_503523.T0	IPR040521	Kyakuja-Dileera-Zisupton transposase	-
CopciAB_503550.T0	IPR013256	Chromatin SPT2	-
CopciAB_503555.T0	IPR041457__IPR040521	CxC2-like cysteine cluster, KDZ transposase-associated__Kyakuja-Dileera-Zisupton transposase	-__-
CopciAB_503578.T0	IPR005062__IPR045107	SAC3/GANP/THP3, conserved domain__SAC3/GANP/THP3	-__-
CopciAB_503585.T0	IPR008197__IPR036645	WAP-type 'four-disulfide core' domain__Elafin-like superfamily	GO:0005576|GO:0030414__-
CopciAB_503618.T0	IPR003700__IPR040442__IPR015813	Ketopantoate hydroxymethyltransferase__Pyruvate kinase-like domain superfamily__Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily	GO:0003864|GO:0015940__-__GO:0003824
CopciAB_503625.T0	IPR043926__IPR027417__IPR000742__IPR003439__IPR003593__IPR017871__IPR013525	ABC transporter family G domain__P-loop containing nucleoside triphosphate hydrolase__EGF-like domain__ABC transporter-like, ATP-binding domain__AAA+ ATPase domain__ABC transporter-like, conserved site__ABC-2 type transporter	GO:0140359__-__-__GO:0005524__-__GO:0005524|GO:0016887__GO:0016020|GO:0140359
CopciAB_503626.T0	IPR002110__IPR036770	Ankyrin repeat__Ankyrin repeat-containing domain superfamily	GO:0005515__-
CopciAB_503638.T0	IPR045886__IPR030667__IPR035985__IPR000594	ThiF/MoeB/HesA family__NEDD8-activating enzyme E1 regulatory subunit APP-BP1__Ubiquitin-activating enzyme__THIF-type NAD/FAD binding fold	-__GO:0019781|GO:0045116__GO:0008641__-
CopciAB_503655.T0	IPR036396__IPR017972__IPR002401__IPR001128	Cytochrome P450 superfamily__Cytochrome P450, conserved site__Cytochrome P450, E-class, group I__Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_503666.T0	IPR041457__IPR040521	CxC2-like cysteine cluster, KDZ transposase-associated__Kyakuja-Dileera-Zisupton transposase	-__-
CopciAB_503676.T0	IPR000719__IPR017441__IPR008271__IPR011009__IPR001245	Protein kinase domain__Protein kinase, ATP binding site__Serine/threonine-protein kinase, active site__Protein kinase-like domain superfamily__Serine-threonine/tyrosine-protein kinase, catalytic domain	GO:0004672|GO:0005524|GO:0006468__GO:0005524__GO:0004672|GO:0006468__-__GO:0004672|GO:0006468
CopciAB_503715.T0	IPR007111__IPR001680__IPR027417__IPR015943__IPR036322__IPR020472__IPR036537	NACHT nucleoside triphosphatase__WD40 repeat__P-loop containing nucleoside triphosphate hydrolase__WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily__G-protein beta WD-40 repeat__Adaptor protein Cbl, N-terminal domain superfamily	-__GO:0005515__-__GO:0005515__GO:0005515__-__GO:0007166
CopciAB_503736.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503748.T0	IPR041078	Plavaka transposase	-
CopciAB_503755.T0	IPR001810	F-box domain	GO:0005515
CopciAB_503785.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_503788.T0	IPR046521	Protein of unknown function DUF6698	-
CopciAB_503820.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_503822.T0	IPR002893	Zinc finger, MYND-type	-
CopciAB_503823.T0	IPR046522	Protein of unknown function DUF6699	-
CopciAB_503830.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_503843.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_503848.T0	IPR011009__IPR040976__IPR000719	Protein kinase-like domain superfamily__Fungal-type protein kinase__Protein kinase domain	-__-__GO:0004672|GO:0005524|GO:0006468
CopciAB_503850.T0	IPR011009__IPR002575	Protein kinase-like domain superfamily__Aminoglycoside phosphotransferase	-__-
CopciAB_503874.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_503887.T0	IPR040976__IPR000719__IPR008266__IPR011009	Fungal-type protein kinase__Protein kinase domain__Tyrosine-protein kinase, active site__Protein kinase-like domain superfamily	-__GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__-
CopciAB_503899.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_503911.T0	IPR036322__IPR015943	WD40-repeat-containing domain superfamily__WD40/YVTN repeat-like-containing domain superfamily	GO:0005515__GO:0005515
CopciAB_503917.T0	IPR041078	Plavaka transposase	-
CopciAB_503952.T0	IPR029066__IPR009006__IPR022644__IPR022653__IPR002433__IPR000183__IPR022643	PLP-binding barrel__Alanine racemase/group IV decarboxylase, C-terminal__Orn/DAP/Arg decarboxylase 2, N-terminal__Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site__Ornithine decarboxylase__Ornithine/DAP/Arg decarboxylase__Orn/DAP/Arg decarboxylase 2, C-terminal	-__GO:0003824__GO:0003824__-__GO:0006596__GO:0003824__GO:0003824
CopciAB_503969.T0	IPR000073__IPR029058	Alpha/beta hydrolase fold-1__Alpha/Beta hydrolase fold	-__-
CopciAB_503975.T0	IPR041078	Plavaka transposase	-
CopciAB_503978.T0	IPR041457	CxC2-like cysteine cluster, KDZ transposase-associated	-
CopciAB_503979.T0	IPR036318__IPR016169	FAD-binding, type PCMH-like superfamily__FAD-binding, type PCMH, subdomain 2	GO:0050660__-
CopciAB_504005.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_504019.T0	IPR001547__IPR017853	Glycoside hydrolase, family 5__Glycoside hydrolase superfamily	GO:0004553|GO:0071704__-
CopciAB_504059.T0	IPR036279__IPR006086__IPR029060__IPR006084	5'-3' exonuclease, C-terminal domain superfamily__XPG-I domain__PIN-like domain superfamily__XPG/Rad2 endonuclease	-__GO:0004518__-__-
CopciAB_504063.T0	IPR025337	Questin oxidase-like	GO:0016491
CopciAB_504066.T0	IPR002229__IPR018047__IPR001905__IPR024041__IPR029020	Blood group Rhesus C/E/D polypeptide__Ammonium transporter, conserved site__Ammonium transporter__Ammonium transporter AmtB-like domain__Ammonium/urea transporter	GO:0005886__GO:0008519|GO:0016020|GO:0072488__GO:0008519|GO:0016020|GO:0072488__GO:0008519|GO:0016020|GO:0072488__-
CopciAB_504085.T0	IPR040648	HMG domain-containing protein 3, CxC4 like cysteine cluster	-
CopciAB_504086.T0	IPR036249__IPR036282__IPR004045	Thioredoxin-like superfamily__Glutathione S-transferase, C-terminal domain superfamily__Glutathione S-transferase, N-terminal	-__-__-
CopciAB_504116.T0	IPR001878__IPR036875	Zinc finger, CCHC-type__Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270__GO:0003676|GO:0008270
CopciAB_504127.T0	IPR003807	Domain of unknown function DUF202	-
CopciAB_504131.T0	IPR036396__IPR001128	Cytochrome P450 superfamily__Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_504145.T0	IPR036875	Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270
CopciAB_504155.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_504216.T0	IPR036525__IPR029209__IPR019605	Tubulin/FtsZ, GTPase domain superfamily__DML1/Misato, tubulin domain__Misato Segment II tubulin-like domain	-__-__-
CopciAB_504239.T0	IPR036291	NAD(P)-binding domain superfamily	-
CopciAB_504252.T0	IPR001650__IPR027417__IPR014001__IPR011545	Helicase, C-terminal__P-loop containing nucleoside triphosphate hydrolase__Helicase superfamily 1/2, ATP-binding domain__DEAD/DEAH box helicase domain	-__-__-__GO:0003676|GO:0005524
CopciAB_504255.T0	IPR036282__IPR004045__IPR036249__IPR004046	Glutathione S-transferase, C-terminal domain superfamily__Glutathione S-transferase, N-terminal__Thioredoxin-like superfamily__Glutathione S-transferase, C-terminal	-__-__-__-
CopciAB_504283.T0	IPR000172__IPR036188__IPR012132	Glucose-methanol-choline oxidoreductase, N-terminal__FAD/NAD(P)-binding domain superfamily__Glucose-methanol-choline oxidoreductase	GO:0016614|GO:0050660__-__GO:0050660
CopciAB_504300.T0	IPR002893	Zinc finger, MYND-type	-
CopciAB_504341.T0	IPR005162__IPR001878__IPR032567__IPR036875	Retrotransposon gag domain__Zinc finger, CCHC-type__LDOC1-related__Zinc finger, CCHC-type superfamily	-__GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_504376.T0	IPR006314__IPR011008	Dyp-type peroxidase__Dimeric alpha-beta barrel	GO:0004601|GO:0020037__-
CopciAB_504495.T0	IPR029044__IPR002685	Nucleotide-diphospho-sugar transferases__Glycosyl transferase, family 15	-__GO:0000030|GO:0006486|GO:0016020
CopciAB_504607.T0	IPR042296__IPR029063__IPR002905	tRNA methyltransferase, Trm1, C-terminal__S-adenosyl-L-methionine-dependent methyltransferase superfamily__tRNA methyltransferase, Trm1	-__-__GO:0003723|GO:0004809|GO:0008033
CopciAB_504757.T0	IPR012923__IPR040038	Chromosome segregation in meiosis protein 3__TIPIN/Csm3/Swi3	GO:0005634|GO:0006974|GO:0031297__GO:0000076
CopciAB_504759.T0	IPR008576__IPR029063	Alpha-N-methyltransferase NTM1__S-adenosyl-L-methionine-dependent methyltransferase superfamily	GO:0006480|GO:0008168__-
CopciAB_505126.T0	IPR035969__IPR000195	Rab-GAP-TBC domain superfamily__Rab-GAP-TBC domain	-__-
CopciAB_505176.T0	IPR036259__IPR011701	MFS transporter superfamily__Major facilitator superfamily	-__GO:0022857|GO:0055085
CopciAB_505578.T0	IPR016712	Mitochondrial ribosomal protein MRP51, fungi	-
CopciAB_505604.T0	IPR020892__IPR002130__IPR029000__IPR044666__IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site__Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain__Cyclophilin-like domain superfamily__Cyclophilin-type peptidyl-prolyl cis-trans isomerase, cyclophilin A-like__Cyclophilin-type peptidyl-prolyl cis-trans isomerase	GO:0003755|GO:0006457__GO:0000413|GO:0003755__-__-__GO:0003755
CopciAB_505644.T0	IPR011171__IPR029006__IPR002108	Glia maturation factor__ADF-H/Gelsolin-like domain superfamily__Actin-depolymerising factor homology domain	GO:0071846|GO:0071933__-__GO:0003779
CopciAB_505737.T0	IPR043129	ATPase, nucleotide binding domain	-
CopciAB_505806.T0	IPR046528	Domain of unknown function DUF6593	-
CopciAB_505989.T0	IPR001547__IPR017853	Glycoside hydrolase, family 5__Glycoside hydrolase superfamily	GO:0004553|GO:0071704__-
CopciAB_506114.T0	IPR011009	Protein kinase-like domain superfamily	-
CopciAB_506497.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_506733.T0	IPR046341__IPR002056__IPR001214__IPR023392	SET domain superfamily__Protein import receptor MAS20__SET domain__Mitochondrial outer membrane translocase complex, Tom20 domain superfamily	-__GO:0005742|GO:0006605|GO:0006886__GO:0005515__-
CopciAB_507060.T0	IPR000073__IPR029058	Alpha/beta hydrolase fold-1__Alpha/Beta hydrolase fold	-__-
CopciAB_507296.T0	IPR001810	F-box domain	GO:0005515
CopciAB_507305.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_507443.T0	IPR019402	Frag1/DRAM/Sfk1	-
CopciAB_507587.T0	IPR040017__IPR016024__IPR013598__IPR045546__IPR011989	Exportin-T__Armadillo-type fold__Exportin-1/Importin-beta-like__Exportin-T, C-terminal domain__Armadillo-like helical	GO:0000049|GO:0006409|GO:0031267|GO:0071528__-__-__-__-
CopciAB_507714.T0	IPR029063__IPR001678__IPR023267	S-adenosyl-L-methionine-dependent methyltransferase superfamily__SAM-dependent methyltransferase RsmB/NOP2-type__RNA (C5-cytosine) methyltransferase	-__GO:0008168__GO:0001510
CopciAB_507848.T0	IPR000504__IPR035979__IPR012677	RNA recognition motif domain__RNA-binding domain superfamily__Nucleotide-binding alpha-beta plait domain superfamily	GO:0003723__GO:0003676__-
CopciAB_507889.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_507893.T0	IPR015943__IPR001680__IPR019775__IPR036322__IPR037850	WD40/YVTN repeat-like-containing domain superfamily__WD40 repeat__WD40 repeat, conserved site__WD40-repeat-containing domain superfamily__Retinoblastoma-binding protein 5/Swd1	GO:0005515__GO:0005515__-__GO:0005515__GO:0048188
CopciAB_508093.T0	IPR018146__IPR037523__IPR029068__IPR004360__IPR004361	Glyoxalase I, conserved site__Vicinal oxygen chelate (VOC) domain__Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase__Glyoxalase/fosfomycin resistance/dioxygenase domain__Glyoxalase I	GO:0004462|GO:0046872__-__-__-__GO:0004462|GO:0046872
CopciAB_508178.T0	IPR000719__IPR017441__IPR047173__IPR011009__IPR008271	Protein kinase domain__Protein kinase, ATP binding site__STE20-related kinase adapter protein alpha/beta-like__Protein kinase-like domain superfamily__Serine/threonine-protein kinase, active site	GO:0004672|GO:0005524|GO:0006468__GO:0005524__GO:0043539__-__GO:0004672|GO:0006468
CopciAB_508285.T0	IPR016706	Cleavage/polyadenylation specificity factor subunit 5	GO:0003729|GO:0005849|GO:0006378
CopciAB_508507.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_508579.T0	IPR036497__IPR014830	Glycolipid transfer protein superfamily__Glycolipid transfer protein domain	-__GO:0005737|GO:0120009|GO:0120013
CopciAB_508801.T0	IPR032710	NTF2-like domain superfamily	-
CopciAB_508840.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_508947.T0	IPR040486__IPR047007__IPR041385__IPR014722__IPR016494__IPR047008__IPR041106__IPR041412__IPR040992__IPR004859__IPR027073	Exoribonuclease 1, domain 3__5'-3' exoribonuclease 1, D1 domain superfamily__5'-3' exoribonuclease 1, SH3-like domain__Ribosomal protein L2, domain 2__5'-3' exoribonuclease 1__5'-3' exoribonuclease 1, SH3-like domain superfamily__Exoribonuclease Xrn1, D2/D3 domain__Xrn1, helical domain__5'-3' exoribonuclease 1, D1 domain__Xrn1, N-terminal__5'-3' exoribonuclease	-__-__-__-__GO:0000956|GO:0008409__-__-__-__-__GO:0003676|GO:0004527__-
CopciAB_509021.T0	IPR045055__IPR041677__IPR027417__IPR041679__IPR047187	DNA2/NAM7-like helicase__DNA2/NAM7 helicase, helicase domain__P-loop containing nucleoside triphosphate hydrolase__DNA2/NAM7 helicase-like, C-terminal__Upf1-like, C-terminal helicase domain	-__GO:0004386__-__-__-
CopciAB_509090.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_509267.T0	IPR025609__IPR010920__IPR019050__IPR025762__IPR047575__IPR025761__IPR025768	Lsm14-like, N-terminal__LSM domain superfamily__FDF domain__DFDF domain__Sm domain__FFD box__TFG box	-__-__-__-__GO:0003723__-__-
CopciAB_509566.T0	IPR001138__IPR007219__IPR036864__IPR005600	Zn(2)Cys(6) fungal-type DNA-binding domain__Transcription factor domain, fungi__Zn(2)-C6 fungal-type DNA-binding domain superfamily__Gal4 dimerisation domain	GO:0000981|GO:0006355|GO:0008270__GO:0003677|GO:0006351|GO:0008270__GO:0000981|GO:0006355|GO:0008270__-
CopciAB_50958.T0	IPR027417__IPR004130__IPR030230	P-loop containing nucleoside triphosphate hydrolase__GPN-loop GTPase__GPN-loop GTPase 1	-__-__GO:0003924
CopciAB_509685.T0	IPR001810	F-box domain	GO:0005515
CopciAB_510090.T0	IPR011042__IPR000254__IPR011041__IPR035971	Six-bladed beta-propeller, TolB-like__Cellulose-binding domain, fungal__Soluble quinoprotein glucose/sorbosone dehydrogenase__Cellulose-binding domain superfamily	-__GO:0005576|GO:0005975|GO:0030248__-__GO:0005576|GO:0005975|GO:0030248
CopciAB_510352.T0	IPR024598__IPR031774__IPR022755__IPR021966__IPR036236	Splicing factor SF3a60 /Prp9 subunit, C-terminal__SF3A3 domain__Zinc finger, double-stranded RNA binding__Splicing factor SF3a60 binding domain__Zinc finger C2H2 superfamily	GO:0000398|GO:0003723|GO:0005681__-__-__-__-
CopciAB_510372.T0	IPR001753__IPR018376__IPR014748__IPR029045	Enoyl-CoA hydratase/isomerase__Enoyl-CoA hydratase/isomerase, conserved site__Enoyl-CoA hydratase, C-terminal__ClpP/crotonase-like domain superfamily	GO:0003824__GO:0003824__-__-
CopciAB_510382.T0	IPR000795__IPR004160__IPR015033__IPR027417__IPR009000__IPR009001	Translational (tr)-type GTP-binding domain__Translation elongation factor EFTu/EF1A, C-terminal__HBS1-like protein, N-terminal__P-loop containing nucleoside triphosphate hydrolase__Translation protein, beta-barrel domain superfamily__Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	GO:0003924|GO:0005525__-__-__-__-__-
CopciAB_51040.T0	IPR018499	Tetraspanin/Peripherin	GO:0016020
CopciAB_510421.T0	IPR042536__IPR019136__IPR041499__IPR040454	TFIIIC, subcomplex tauA subunit Sfc1, triple barrel domain superfamily__Transcription factor IIIC subunit 5, HTH domain__Transcription factor IIIC subunit Tfc1/Sfc1, triple barrel domain__Transcription factor IIIC subunit Tfc1/Sfc1	-__-__-__GO:0000127|GO:0006384
CopciAB_510463.T0	IPR004364__IPR045864__IPR012340__IPR047089__IPR004115__IPR002312__IPR004524__IPR006195	Aminoacyl-tRNA synthetase, class II (D/K/N)__Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)__Nucleic acid-binding, OB-fold__Aspartate-tRNA ligase, type 1, anticodon recognition domain__GAD-like domain superfamily__Aspartyl/Asparaginyl-tRNA synthetase, class IIb__Aspartate-tRNA ligase, type 1__Aminoacyl-tRNA synthetase, class II	GO:0000166|GO:0004812|GO:0005524|GO:0006418__-__-__-__GO:0004812|GO:0005524|GO:0005737__GO:0000166|GO:0004812|GO:0005524|GO:0006418__GO:0005524|GO:0016874__-
CopciAB_510802.T0	IPR032675__IPR036047	Leucine-rich repeat domain superfamily__F-box-like domain superfamily	-__GO:0005515
CopciAB_510818.T0	IPR036188__IPR006076	FAD/NAD(P)-binding domain superfamily__FAD dependent oxidoreductase	-__GO:0016491
CopciAB_511025.T0	IPR046670	Protein of unknown function DUF6540	-
CopciAB_511083.T0	IPR000719__IPR008271__IPR011009	Protein kinase domain__Serine/threonine-protein kinase, active site__Protein kinase-like domain superfamily	GO:0004672|GO:0005524|GO:0006468__GO:0004672|GO:0006468__-
CopciAB_511209.T0	IPR045134__IPR003105__IPR036987__IPR015947	UHRF1/2-like__SRA-YDG__SRA-YDG superfamily__PUA-like superfamily	-__-__-__-
CopciAB_511249.T0	IPR029033__IPR013078	Histidine phosphatase superfamily__Histidine phosphatase superfamily, clade-1	-__-
CopciAB_511335.T0	IPR000219__IPR035899	Dbl homology (DH) domain__Dbl homology (DH) domain superfamily	GO:0005085__-
CopciAB_511610.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_511910.T0	IPR038445__IPR031331__IPR006823__IPR031329	Neutral ceramidase, C-terminal domain superfamily__Neutral/alkaline non-lysosomal ceramidase, C-terminal__Neutral/alkaline nonlysosomal ceramidase__Neutral/alkaline non-lysosomal ceramidase, N-terminal	-__-__GO:0017040|GO:0046514__-
CopciAB_511951.T0	IPR029033	Histidine phosphatase superfamily	-
CopciAB_512060.T0	IPR040623__IPR016024__IPR011989__IPR016642__IPR002015	26S proteasome regulatory subunit RPN2, C-terminal__Armadillo-type fold__Armadillo-like helical__26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit__Proteasome/cyclosome repeat	-__-__-__GO:0000502|GO:0030234|GO:0042176__-
CopciAB_512246.T0	IPR007244	-alpha-acetyltransferase 35, NatC auxiliary subunit	GO:0017196|GO:0031417
CopciAB_512348.T0	IPR002401__IPR036396__IPR017972__IPR001128	Cytochrome P450, E-class, group I__Cytochrome P450 superfamily__Cytochrome P450, conserved site__Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_512542.T0	IPR002156__IPR036397__IPR012337	Ribonuclease H domain__Ribonuclease H superfamily__Ribonuclease H-like superfamily	GO:0003676|GO:0004523__GO:0003676__-
CopciAB_512718.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_512781.T0	IPR001680__IPR006595__IPR006594__IPR015943__IPR036322	WD40 repeat__CTLH, C-terminal LisH motif__LIS1 homology motif__WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	GO:0005515__-__GO:0005515__GO:0005515__GO:0005515
CopciAB_512822.T0	IPR036188	FAD/NAD(P)-binding domain superfamily	-
CopciAB_513017.T0	IPR001680__IPR036322__IPR015943__IPR024977__IPR007319	WD40 repeat__WD40-repeat-containing domain superfamily__WD40/YVTN repeat-like-containing domain superfamily__Anaphase-promoting complex subunit 4, WD40 domain__Small-subunit processome, Utp21	GO:0005515__GO:0005515__GO:0005515__-__GO:0006364|GO:0032040
CopciAB_513045.T0	IPR045863__IPR045861__IPR002523	CorA, transmembrane region__CorA, cytoplasmic domain__Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	-__-__GO:0016020|GO:0030001|GO:0046873|GO:0055085
CopciAB_513173.T0	IPR002893	Zinc finger, MYND-type	-
